id_listing,judul,harga,alamat,kamar_tidur,kamar_mandi,garasi/carport,luas_tanah,luas_bangunan
hos18986383,Dijual Rumah Baru Siap Huni Di Dago Dkt Itb Unpad Kota Bandung,"Rp 2,3 Miliar","Dago, Bandung",3,2,2,: 114 m²,: 112 m²
hos16681616,Jual Rumah MURAH banget di Summarecon Bandung,"Rp 1,4 Miliar","Summarecon Bandung, Bandung",2,2,1,: 66 m²,: 62 m²
hos16019759,"jarang Ada, RUMAH SUMMARECON Bandung 2 lantai, harga 1 M an","Rp 1,35 Miliar","Summarecon Bandung, Bandung",2,2,1,: 66 m²,: 66 m²
hos18971766,Dijual Rumah 2 Lantai Di Jatihandap Dkt Kampus Itenas Widyatama,Rp 522 Juta,"Dago, Bandung",3,2,1,: 55 m²,: 80 m²
hos18285660,Jual Rumah Lux Premium Di Summarecon Gedebage Gede Bage Kota Bandung,"Rp 4,5 Miliar","Summarecon Bandung, Bandung",3,3,2,: 200 m²,: 151 m²
hos18971706,Dijual Rumah Murah Di Jatihandap Dkt Itenas Univ Widyatama Unpad,Rp 485 Juta,"Antapani, Bandung",2,1,1,: 60 m²,: 40 m²
hos17658622,Dijual Rumah SHM di Jatihandap cluster one gate,Rp 485 Juta,"Antapani, Bandung",2,1,1,: 74 m²,: 40 m²
hos17888502,Dijual Rumah Cluster Mewah 2 Lantai Di Dago Cidadap Kota Bandung,"Rp 2,86 Miliar","Dago, Bandung",3,2,2,: 120 m²,: 142 m²
hos17286534,Dijual rumah siap huni di jatihandap dkt ke pusat kota bandung,Rp 600 Juta,"Antapani, Bandung",3,2,2,: 84 m²,: 60 m²
hos17658715,Dijual rumah 2 lantai free design di jatihandap view kota bandung,Rp 552 Juta,"Antapani, Bandung",3,2,2,: 105 m²,: 55 m²
hos17852060,Dijual Rumah 2 Lantai Di Jatihandap Dkt Padasuka Cicaheum Cicadas,Rp 497 Juta,"Dago, Bandung",3,2,1,: 82 m²,: 55 m²
hos18827808,Dijual Rumah Shm Bisa Kpr  Di Jatihandap Dket Pusat Kota Bandung,Rp 485 Juta,"Antapani, Bandung",2,1,1,: 70 m²,: 40 m²
hos18070230,Dijual Rumah Mewah Di Komplek Mitra Dago Antapani Kota Bandung,"Rp 4,2 Miliar","Antapani, Bandung",3,3,1,: 216 m²,: 120 m²
hos18818722,Dijual Rumah 2 Lt Full Furnish Dkt Stasiun Dan Toll Padalarang,Rp 495 Juta,"Padalarang, Bandung",2,2,1,: 60 m²,: 50 m²
hos17852010,Dijual Rumah 2 Lantai free Design Di Jatihandap View Kota Bandung,Rp 527 Juta,"Padasuka, Bandung",3,2,1,: 82 m²,: 55 m²
hos18614954,Dijual Rumah Shm Murah Free Design Di Jatihandap Dkt Pusat Kota,Rp 365 Juta,"Padasuka, Bandung",2,1,1,: 69 m²,: 33 m²
hos17681512,Dijual rumah 2 lantai KPR DP 0 persen Padasuka bandung,Rp 675 Juta,"Sayap Dago, Bandung",2,2,1,: 72 m²,: 60 m²
hos17466847,Dijual Rumah 2 Lantai Di Jatihandap Dkt Cicaheum Cicadas,Rp 549 Juta,"Padasuka, Bandung",3,2,1,: 76 m²,: 60 m²
hos17466822,Dijual Rumah murah di Jatihandap dkt pusat kota bandung,Rp 499 Juta,"Padasuka, Bandung",3,1,null,: 76 m²,: 40 m²
hos18954304,Dijual Rumah Cluster One Gate Kpr Di Jatihandap Kota Bandung,Rp 485 Juta,"Padasuka, Bandung",2,1,1,: 60 m²,: 40 m²
hos17765888,Dijual Rumah 2 Lantai cluster baru SHM di Jalan kamarung cimahi,Rp 799 Juta,"Cimahi, Bandung",3,2,null,: 91 m²,: 60 m²
hos18210298,Dijual Rumah Siap Huni Di Jatihandap Padasuka Cicadas Cicaheum,Rp 775 Juta,"Padasuka, Bandung",2,2,null,: 110 m²,: 140 m²
hos18736223,Dijual Rumah Langka Sangat Murah Di Sariwangi Bandung,"Rp 1,2 Miliar","Sariwangi, Bandung",5,3,1,: 194 m²,: 220 m²
hos18416144,Jual Rumah Batununggal Bandung,"Rp 1,8 Miliar","Batununggal, Bandung",2,2,1,: 126 m²,: 108 m²
hos18537201,Dijual Rumah Batu Indah Batununggal Bandung,"Rp 1,6 Miliar","Batununggal, Bandung",5,3,1,: 142 m²,: 250 m²
hos18415831,Jual rumah Parakan Saat Bandung,"Rp 1,15 Miliar","Arcamanik, Bandung",3,1,1,: 130 m²,: 100 m²
hos18203677,"Jual Rumah Area Babakan Ciparay, Peta, Caringin","Rp 3,5 Miliar","Caringin, Bandung",4,3,2,: 385 m²,: 425 m²
hos18390118,Jual Rumah Guest House Cigadung Bandung,"Rp 3,9 Miliar","Cigadung, Bandung",4,4,2,: 475 m²,: 287 m²
hos18655688,Rumah hunian asri lokasi strategis Riung Saluyu Bandung,Rp 1 Miliar,"Rancasari, Bandung",4,2,null,: 100 m²,: 190 m²
hos18656217,"Rumah Modern 2 Lantai di Jl. Gandasari, Kab. Bandung 7 Menit Tol Soreang","Rp 1,31 Miliar","Soreang, Bandung",3,2,2,: 84 m²,: 106 m²
hos18342545,Dijual Rumah Area Universitas Telkom Bojongsoang,"Rp 1,5 Miliar","Bojongsoang, Bandung",3,3,2,: 96 m²,: 118 m²
hos18217180,Rumah Cantik Siap Huni Di Taman Rahayu,Rp 950 Juta,"Taman Kopo Indah, Bandung",4,3,1,: 120 m²,: 150 m²
hos18315458,Dijual Rumah Bagus Siap Huni Di Antapani,"Rp 1,39 Miliar","Antapani, Bandung",3,2,2,: 90 m²,: 106 m²
hos18406892,Jual Rumah Antapani Bandung,"Rp 3,8 Miliar","Antapani, Bandung",4,4,1,: 268 m²,: 103 m²
hos18564137,Rumah Daerah Sadang Margahayu bandung,Rp 650 Juta,"Taman Kopo Indah, Bandung",2,1,1,: 80 m²,: 80 m²
hos18185752,Dijual Rumah Daerah Ciwaruga Bandung,"Rp 1,65 Miliar","Geger Kalong, Bandung",4,3,2,: 108 m²,: 225 m²
hos18192416,Jual Rumah ciwaruga Bandung,"Rp 1,94 Miliar","Geger Kalong, Bandung",4,3,1,: 142 m²,: 170 m²
hos18523236,Jual Rumah di lembang bandung Barat,"Rp 2,7 Miliar","Lembang, Bandung",2,1,1,: 240 m²,: 400 m²
hos19031899,Dijual Rumah Siap Huni Dekat Kota Baru Parahyangan,Rp 700 Juta,"Padalarang, Bandung",3,3,1,: 104 m²,: 208 m²
hos18827758,Dijual Rumah Lama Terawat Cipaganti Siap Huni,Rp 7 Miliar,"Cipaganti, Bandung",8,3,1,: 287 m²,: 200 m²
hos18734464,Rumag Komplek Puri Dago Antapani,"Rp 1,5 Miliar","Antapani, Bandung",4,3,1,: 121 m²,: 128 m²
hos18025538,Rumah Bagus Siap Huni Istana Sudirman Regency Cijerah,"Rp 2,8 Miliar","Cijerah, Bandung",3,2,1,: 155 m²,: 200 m²
hos14943777,Rumah Tinggal Cocok Untuk Cafe Atau Penginapan Ciburial Dago,Rp 20 Miliar,"Dago, Bandung",5,2,4,: 1970 m²,: 200 m²
hos15640383,Jual Rumah Tinggal Lokasi Strategis Sayap Pajajaran,"Rp 4,3 Miliar","Pajajaran, Bandung",4,3,2,: 269 m²,: 140 m²
hos18688684,Di Jual Rumah Baru Siap Huni Lokasi Cluster Randu Residence Arcamanik Kotamadya Bandung,Rp 900 Juta,"Arcamanik, Bandung",3,1,1,: 101 m²,: 80 m²
hos18432726,Rumah Minimalis Cantik Bali Garden City View,"Rp 1,32 Miliar","Bandung Kota, Bandung",3,2,2,: 100 m²,: 75 m²
hos18777408,Rumah Terawat di Area Margahayu Raya Dekat Metro Bandung,"Rp 1,2 Miliar","Margahayu, Bandung",4,3,1,: 144 m²,: 105 m²
hos18622533,Rumah Margahayu Raya Depan Dekat Metro Best Lokasi,"Rp 1,6 Miliar","Margahayu, Bandung",5,2,1,: 144 m²,: 180 m²
hos18622081,Dijual Rumah Margahayu Raya Metro Jalan Lebar Posisi Hoek Murah,"Rp 1,35 Miliar","Margahayu, Bandung",3,2,1,: 209 m²,: 150 m²
hos18827487,Dijual Rumah Terawat Margahayu Raya Siap Huni,"Rp 1,8 Miliar","Margahayu, Bandung",6,3,1,: 238 m²,: 210 m²
hos18622415,Dijual Cepat Rumah Besar Margahayu Raya Full Furnish Muraah,"Rp 1,37 Miliar","Margahayu, Bandung",6,3,2,: 210 m²,: 300 m²
hos18246521,Rumah Baru 1 Lantai Siap Huni Di Taman Holis Indah,Rp 850 Juta,"Holis Cigondewah, Bandung",2,1,1,: 87 m²,: 36 m²
hos18907333,Dijual Rumah Mewah Dalam Komplek Buahbatu Regency,"Rp 2,55 Miliar","Buah Batu, Bandung",4,3,2,: 244 m²,: 320 m²
hos18826136,Turun Harga Dijual Rumah Sanggar Hurip 2 Lantai Siap Huni,"Rp 1,95 Miliar","Buah Batu, Bandung",5,2,2,: 229 m²,: 220 m²
hos19023928,Dijual Rumah Baru di Cherry Field Dekat Tol Buahbatu,Rp 950 Juta,"Buah Batu, Bandung",3,2,1,: 100 m²,: 80 m²
hos19023989,Dijual Murah Rumah Terawat di Komp Dadali Bojong Soang,Rp 750 Juta,"Buah Batu, Bandung",3,2,2,: 128 m²,: 80 m²
hos18831362,Kota Baru Parahyangan Rumah Mewah Kolam Renang View Danau,Rp 21 Miliar,"Kota Baru Parahyangan, Bandung",4,6,null,: 775 m²,: 750 m²
hos18322216,Rumah Di Sherwood Full Furnished By Celtic Harga Nego,"Rp 1,8 Miliar","Taman Kopo Indah, Bandung",2,2,2,: 117 m²,: 100 m²
hos18191624,Dijual Rumah Baru Tatar Spatiresmi City View,"Rp 5,5 Miliar","Kota Baru Parahyangan, Bandung",4,3,2,: 290 m²,: 199 m²
hos11867486,Rumah di Batununggal dengan kolam renang,Rp 9 Miliar,"Batununggal, Bandung",6,6,2,: 450 m²,: 700 m²
hos16954720,Dijual Rumah Baru Kpr Pasti Acc Angsuran 2 Jutaan Model Eropa Di Ciwastra Gedebage Dekat Sumarecon Bandung Bonus Umroh Sepeda Motor Dll,Rp 600 Juta,"Arcamanik, Bandung",2,1,1,: 72 m²,: 45 m²
hos19050423,"Dijual Rumah Siap Huni di Bumi Asri Regency, Padalarang, Bandung",Rp 550 Juta,"Padalarang, Bandung",2,1,1,: 80 m²,: 36 m²
hos18169904,Dijual Murah Rumah Full Furnish Di Kota Baru Parahyangan Padalarang Bandung Akses Langung Tol,"Rp 2,9 Miliar","Kota Baru Parahyangan, Bandung",3,3,1,: 144 m²,: 180 m²
hos17795971,Rumah Murah 2 Lantai View Bandung Di Cinunuk Cibiru Bandung Harga Promo,Rp 600 Juta,"Bandung Kota, Bandung",3,2,1,: 55 m²,: 58 m²
hos16866581,Dijual Rumah Di Buahbatu Ciwastra Dekat Summarecon Bandung Dp 5 Juta Kpr Pasti Acc Bonus Umroh Dll,Rp 500 Juta,"Bandung Timur, Bandung",2,1,1,: 95 m²,: 45 m²
hos16748033,Rumah Promo Dp 5 Juta Fasilitas Lengkap Di Ciwastra Buahbatu Bandung Kpr Pasti Acc Bonus Umroh Sepeda Motor Dll,Rp 500 Juta,"Bandung Utara, Bandung",2,1,1,: 60 m²,: 40 m²
hos18715208,Rumah Kpr Dp 5 Juta Pasti Acc Bank Angsuran 2 Jutaan Di Bandung Ciwastra Dekat Al Jabbar Bonus Umroh Dll,Rp 500 Juta,"Batununggal, Bandung",2,1,null,: 60 m²,: 40 m²
hos18715305,Rumah Baru Di Buahbatu Ciwastra Bandung Kpr Pasti Acc Dp 5 Juta Bonus Umroh Sepeda Motor Dll,Rp 500 Juta,"Buah Batu, Bandung",2,1,1,: 60 m²,: 40 m²
hos16738046,Rumah Kpr Pasti Acc Bank Di Kawasan Gedebage Ciwastra Dp 5 Juta Angsuran Mulai 2 Jutaan Bonus Umroh Dll,Rp 500 Juta,"Bandung Kota, Bandung",2,1,1,: 60 m²,: 40 m²
hos17963103,Rumah Minimalis Hadap Timur Di Taman Kopo Indah 3 Bandung,"Rp 1,35 Miliar","Taman Kopo Indah, Bandung",2,1,null,: 112 m²,: 70 m²
hos17075867,Rumah Furnish Bagus  Puri Dago Mas Antapani Bandung,"Rp 3,5 Miliar","Antapani, Bandung",4,4,2,: 119 m²,: 250 m²
hos19057481,Rumah Siap Huni di Ciwaruga Cigugur Girang Dkt Gegerkalong Setiabudi,Rp 989 Juta,"Geger Kalong, Bandung",2,2,1,: 101 m²,: 55 m²
hos19057423,Rumah Murah di Jatihandap Islamic Centre Dkt Padasuka Antapani,Rp 365 Juta,"Padasuka, Bandung",2,1,1,: 69 m²,: 36 m²
hos12457859,Dijual Rumah Summarecon Cluster Amanda Bagus Siap Huni Unfurnished Bandung,"Rp 2,35 Miliar","Gede Bage, Bandung",2,1,1,: 112 m²,: 97 m²
hos17269510,Samha Village Jatihandap Rumah Murah Dkt Antapani Padasuka Cikutra,Rp 365 Juta,"Mandalajati, Bandung",2,1,1,: 69 m²,: 33 m²
hos19057405,Rumah Siap Huni di Cihanjuang Sariwangi Dkt Gegerkalong Setiabudi,Rp 550 Juta,"Cihanjuang, Bandung",2,1,1,: 61 m²,: 38 m²
hos18790978,Dijual Rumah Siap Huni Cluster Nyaman Kota Baru Parahyangan,"Rp 1,8 Miliar","Kota Baru Parahyangan, Bandung",2,1,1,: 90 m²,: 50 m²
hos18393994,"Rumah Sukamulya Halaman Luas Bisa Untuk Kantor Pasteur Bandung , Timur","Rp 9,5 Miliar","Pasteur, Bandung",4,4,5,: 908 m²,: 600 m²
hos18805890,Rumah Batununggal 3 Lantai Hadap Timur Nyaman Lux Tropical Modern,Rp 11 Miliar,"Batununggal, Bandung",7,5,2,: 375 m²,: 600 m²
hos18909108,Rumah Baru Minimalis 1 Lantai di Setiabudi Regency,Rp 13 Miliar,"Setiabudi, Bandung",3,3,null,: 912 m²,: 400 m²
hos17671858,Rumah Eropian Style 2 Lantai Semi Furnished Di Taman Kopo Indah 3,"Rp 2,65 Miliar","Taman Kopo Indah, Bandung",4,3,1,: 170 m²,: 194 m²
hos18834997,Rumah Cantik Siap Huni Batununggal Indah Buah Batu Bandung,"Rp 3,5 Miliar","Batununggal, Bandung",3,3,2,: 190 m²,: 300 m²
hos18965673,Rumah Minimalis Siap Huni Cluster Green Grande Ciwastra Bandung,Rp 690 Juta,"Ciwastra, Bandung",2,1,1,: 84 m²,: 60 m²
hos18965677,Rumah Bagus Buah Batu Residence Topindo Bandung,"Rp 1,3 Miliar","Terusan Buah Batu, Bandung",3,2,null,: 102 m²,: 135 m²
hos18965669,Rumah Minimalis Siap Huni Cluster De Green Grande Margacinta,Rp 690 Juta,"Ciwastra, Bandung",2,1,1,: 84 m²,: 50 m²
hos18922626,Di Jual Rumah Gress Lingkungan Nyaman Plus Furnis Lokasi Cigadung Dago,"Rp 1,85 Miliar","Dago, Bandung",3,3,1,: 92 m²,: 159 m²
hos18908401,Turun Harga Rumah Murah Mainroad Cigadung Dago Bandung,"Rp 1,3 Miliar","Sayap Dago, Bandung",4,1,1,: 112 m²,: 110 m²
hos18767857,Rumah Minimalis 2lantai Padasuka Jatihandap Bandung,"Rp 1,25 Miliar","Cikutra, Bandung",3,2,1,: 151 m²,: 180 m²
hos18676553,Rumah Baru Dekat Mesjid Al Jabar Gede Bage Panyileukan Bandung,Rp 850 Juta,"Arcamanik, Bandung",2,1,1,: 90 m²,: 69 m²
hos18556844,Rumah Murah Siaphuni Griya Gasmin Antapani Bandung,Rp 850 Juta,"Antapani, Bandung",3,1,1,: 91 m²,: 101 m²
hos18823265,Rumah Minimalis Siaphuni Sindanglaya Cijambe Ujungberung Bandung,Rp 765 Juta,"Ujungberung, Bandung",2,1,2,: 140 m²,: 55 m²
hos18592193,Turun Harga Rumah Mainroad Area Pasteur Setraduta Bandung,"Rp 1,65 Miliar","Pasteur, Bandung",2,2,1,: 232 m²,: 200 m²
hos18503679,Rumah Murah Belakang Metro Margahayu Soekarno Hatta Bandung,Rp 700 Juta,"Rancasari, Bandung",1,1,1,: 80 m²,: 54 m²
hos18862128,Rumah Murah Belakang Griya Arcamanik Endah Bandung,"Rp 1,1 Miliar","Arcamanik, Bandung",2,1,2,: 209 m²,: 133 m²
hos18932911,Rumah Murah Minimalis Modern Area Gede Bage Riung Bandung,Rp 500 Juta,"Margahayu, Bandung",2,1,1,: 63 m²,: 80 m²
hos18740373,Rumah Murah Siaphuni Terawat Gedebage Margahayu Riung Bandung,Rp 490 Juta,"Gede Bage, Bandung",2,1,1,: 60 m²,: 60 m²
hos18879966,Rumah Murah Minimalis Siaphuni Cisaranten Arcamanik Bandung,Rp 950 Juta,"Arcamanik, Bandung",2,1,1,: 152 m²,: 125 m²
