order,Kecamatan,Latitude,Longitude
365,Andir,-6.902668396,107.5643414
366,Andir,-6.902272555,107.564108
367,Andir,-6.901910343,107.5638833
368,Andir,-6.901546013,107.5636597
369,Andir,-6.901151857,107.5634281
370,Andir,-6.901023848,107.5633521
371,Andir,-6.900966835,107.563318
372,Andir,-6.900678715,107.5631454
373,Andir,-6.900586253,107.5630885
374,Andir,-6.900400968,107.5629782
375,Andir,-6.900400573,107.562978
376,Andir,-6.898901165,107.5620508
377,Andir,-6.896913722,107.5608295
378,Andir,-6.895896942,107.5601935
379,Andir,-6.895213987,107.559786
380,Andir,-6.895184355,107.559864
381,Andir,-6.895194641,107.5599289
382,Andir,-6.895197795,107.5599488
383,Andir,-6.895201485,107.5599721
384,Andir,-6.895345502,107.5602974
385,Andir,-6.895362034,107.5603347
386,Andir,-6.895372014,107.5603573
387,Andir,-6.895489052,107.5605539
388,Andir,-6.895649083,107.5608227
389,Andir,-6.895649273,107.5608231
390,Andir,-6.895666222,107.5608529
391,Andir,-6.895674335,107.5608671
392,Andir,-6.895720477,107.5609642
393,Andir,-6.895793275,107.5611106
394,Andir,-6.895831872,107.5611692
395,Andir,-6.895872028,107.5612159
396,Andir,-6.895891342,107.561237
397,Andir,-6.895993905,107.561349
398,Andir,-6.896074622,107.5614439
399,Andir,-6.896253145,107.5616827
400,Andir,-6.896458007,107.5619901
401,Andir,-6.896529944,107.5621241
402,Andir,-6.896588604,107.562237
403,Andir,-6.896583006,107.5622643
404,Andir,-6.896580499,107.56228
405,Andir,-6.896615019,107.5623433
406,Andir,-6.896516419,107.5624052
407,Andir,-6.896453455,107.5624432
408,Andir,-6.896424032,107.5624614
409,Andir,-6.896362653,107.5625075
410,Andir,-6.896244384,107.5625496
411,Andir,-6.896060141,107.5625977
412,Andir,-6.896022324,107.5626166
413,Andir,-6.895962793,107.562638
414,Andir,-6.895883728,107.5626551
415,Andir,-6.895880485,107.5626558
416,Andir,-6.895764952,107.5626768
417,Andir,-6.895755994,107.5626608
418,Andir,-6.895684689,107.5626668
419,Andir,-6.895683309,107.5626587
420,Andir,-6.895655187,107.562553
421,Andir,-6.895597098,107.5625536
422,Andir,-6.895418041,107.5625887
423,Andir,-6.89531865,107.5626054
424,Andir,-6.895148518,107.5626727
425,Andir,-6.895126946,107.5626827
426,Andir,-6.895098943,107.562695
427,Andir,-6.89505233,107.5627037
428,Andir,-6.895021683,107.5627092
429,Andir,-6.894992232,107.5627191
430,Andir,-6.894998421,107.5627884
431,Andir,-6.89492321,107.5628191
432,Andir,-6.89490714,107.5628229
433,Andir,-6.894876931,107.5628292
434,Andir,-6.894841611,107.5628309
435,Andir,-6.894803095,107.5628301
436,Andir,-6.894764016,107.5628306
437,Andir,-6.894718889,107.5628472
438,Andir,-6.894682597,107.5628629
439,Andir,-6.894645992,107.5628891
440,Andir,-6.894585843,107.5629297
441,Andir,-6.894533776,107.5629653
442,Andir,-6.894500409,107.5629986
443,Andir,-6.894491344,107.5630066
444,Andir,-6.894479657,107.563023
445,Andir,-6.894443787,107.5631007
446,Andir,-6.894411417,107.5631862
447,Andir,-6.894404755,107.5631888
448,Andir,-6.894394581,107.5631898
449,Andir,-6.894354904,107.5631746
450,Andir,-6.89432017,107.5631645
451,Andir,-6.894260579,107.5631559
452,Andir,-6.894230762,107.5631557
453,Andir,-6.894204231,107.5631605
454,Andir,-6.894146083,107.5631917
455,Andir,-6.894129384,107.5632165
456,Andir,-6.894110984,107.5632496
457,Andir,-6.894100858,107.5632844
458,Andir,-6.894093876,107.5633506
459,Andir,-6.89407715,107.5633804
460,Andir,-6.894016871,107.563429
461,Andir,-6.893990447,107.563442
462,Andir,-6.893967014,107.5634434
463,Andir,-6.893942212,107.5634271
464,Andir,-6.893929154,107.563405
465,Andir,-6.89391608,107.5633859
466,Andir,-6.893898645,107.5633609
467,Andir,-6.893889916,107.5633506
468,Andir,-6.893862146,107.5633417
469,Andir,-6.893840122,107.5633533
